  ,Bubble,Selection,Insertion,Heap,Quick,Merge,Radix,Flash 
100,0,0,0,0,0,1,0,0,
1000,1,2,1,0,0,0,1,0,
5000,54,72,7,0,0,1,0,0,
10000,265,332,54,1,1,2,1,0,
50000,5756,7475,643,6,5,12,7,3,
100000,18772,29260,2431,15,10,18,12,8,
